epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,264.446,1.34427,3.43669,1.44036,0.80553,0.75705,0.8276,0.57394,1.08283,2.13515,1.19734,0.000301848,0.000301848,0.000301848
2,554.868,1.16494,2.07018,1.26357,0.8622,0.79125,0.86589,0.63552,0.9233,1.55266,1.07895,0.000584888,0.000584888,0.000584888
3,944.129,1.1009,1.68447,1.23497,0.94868,0.66137,0.69761,0.53519,0.8331,1.15252,1.03004,0.00084793,0.00084793,0.00084793
4,1410.47,1.06581,1.39151,1.19469,0.87334,0.61334,0.6275,0.47268,0.92079,1.13163,1.08861,0.000819009,0.000819009,0.000819009
5,1854.13,1.0414,1.25562,1.19081,0.94533,0.8449,0.90315,0.70257,0.81061,0.87674,1.01095,0.000789012,0.000789012,0.000789012
6,2316.86,0.96646,1.09627,1.14347,0.97314,0.92909,0.96745,0.7617,0.77489,0.71256,0.97642,0.000759015,0.000759015,0.000759015
7,2830.46,0.95036,0.97824,1.13558,0.97663,0.94168,0.96907,0.78226,0.74186,0.64779,0.96662,0.000729018,0.000729018,0.000729018
8,3510.17,0.89497,0.8963,1.10817,0.97319,0.92617,0.96388,0.78034,0.71411,0.60001,0.94479,0.000699021,0.000699021,0.000699021
9,4241.3,0.85871,0.84873,1.08905,0.973,0.96262,0.97629,0.79551,0.71498,0.53592,0.93469,0.000669024,0.000669024,0.000669024
10,5116.61,0.83751,0.81182,1.07369,0.98286,0.94084,0.97598,0.81072,0.67442,0.53847,0.92857,0.000639027,0.000639027,0.000639027
11,6021.68,0.80395,0.78189,1.07211,0.98514,0.95815,0.97412,0.81576,0.63947,0.504,0.90316,0.00060903,0.00060903,0.00060903
12,8685.48,0.76439,0.70827,1.04531,0.98702,0.95047,0.97634,0.82906,0.63364,0.47361,0.89622,0.000579033,0.000579033,0.000579033
13,9738.58,0.77377,0.71362,1.04866,0.97745,0.9547,0.96926,0.83308,0.60229,0.45163,0.89429,0.000549036,0.000549036,0.000549036
